report_num,significant,long,lat
20130314,1,-118.229308,33.806255
20130315,1,-118.370221,33.949629
20130316,0,-99.75808,32.39482
20130317,0,-106.2038889,41.8458333
20130318,0,-96.850184,29.950028
20130319,1,-96.88026,37.79193
20130320,1,-94.159355,42.854755
20130321,0,-96.91462,30.04236
20130322,1,-82.4943,42.8842
20130323,1,-95.237834,29.705972
20130324,0,-86.41016,40.04027
20130325,0,-95.611575,37.052386
20130326,0,-86.41016,40.04027
20130327,0,-95.23416,29.70639
20130328,1,-87.8981323,39.3271159
20130329,0,-100.841964,32.531983
20130330,0,-93.326669,40.203611
20130331,0,-97.79908,34.874565
20130332,1,-98.160559,28.488488
20130333,1,-78.3075,35.55167
20130334,1,-96.0775,29.146389
20130335,0,-77.51333,40.351944
20130336,1,-105.337417,32.359487
20130337,0,-74.2117528,40.6082833
20130338,1,-101.046424,36.086068
20130339,0,-97.75689,36.77414
20130340,1,-93.9091,43.58698
20130341,0,-94.33013,42.81144
20130342,1,-97.38027,39.02942
20130343,1,-95.217226,29.716471
20130345,1,-75.532336,40.519942
20130346,0,-95.22212,29.72979
20130347,0,-97.4765,31.215
20130348,0,-85.15468796,44.78880643
20130349,0,-95.42361,37.79167
20130350,1,-101.890833,35.265278
20130351,0,-102.24834,31.655975
20130353,1,-102.856912,48.524251
20130354,0,-95.49514204,30.84377614
20130355,1,-95.430748,28.949448
20130356,0,-102.01767,32.02343
20130357,0,-118.2166667,33.8630556
20130358,0,-96.748525,35.936195
20130359,1,-95.38024,32.28981
20130360,0,-89.58269,31.97435
20130361,0,-119.654007,35.3496
20130362,1,-94.892908,29.854022
20130363,1,-117.838615,33.86657
20130364,1,-118.208889,33.769722
20130366,1,-77.74824,43.0456
20130367,0,-96.20079871,33.03568558
20130368,1,-95.17842,29.717115
20130369,0,-103.960134,32.782062
20130370,0,-103.1764,31.76976
20130371,0,-93.955483,29.89936
20130372,0,-99.2227778,28.5088889
20130373,1,-99.65356,32.36876
20130374,0,-97.45631,36.4302
20130375,1,-119.298397,34.314349
20130376,1,-97.755756,36.775556
20130377,0,-89.17722989,39.70736769
20130378,0,-96.74784,35.94066
20130379,1,-102.373875,48.304045
20130380,1,-101.752403,48.325686
20130381,1,-93.12757,41.61566
20130382,1,-97.1231789,29.92317489
20130383,1,-74.21558,40.588583
20130384,0,-92.63136292,33.26013184
20130385,0,-95.18024582,29.81987246
20130386,0,-94.604717,30.13945
20130387,0,-74.25384,40.52243
20130388,1,-96.06001,33.22973
20130389,0,-92.06,46.69
20130390,0,-105.240693,42.917984
20130391,1,-97.19300732,36.67346274
20130392,0,-97.243049,35.317952
20130393,0,-104.939441,39.395483
20130394,0,-94.67588,31.15903
20130395,0,-97.59628,35.69559
20130396,1,-96.94382,32.108042
20130397,0,-90.905417,32.842833
20130398,1,-98.638347,33.828281
20130399,1,-86.409788,40.039849
20130400,0,-101.75231,38.83618
20130401,0,-97.5136,34.2391
20130402,0,-103.178079,32.079424
20130403,1,-89.34615,29.36586
20130404,0,-97.518106,27.831131
20130405,1,-100.6198,36.7889
20130406,0,-97.531604,27.839803
20130407,0,-103.14003,32.650565
20130408,0,-108.800237,36.905274
20130409,0,-94.40137,29.787397
20130410,0,-89.07362,38.79205
20130411,1,-89.06510432,38.7893921
20140001,1,-99.98155,37.12022
20140002,0,-96.7465,35.9863
20140003,0,-109.9803,41.5652
20140004,1,-97.247747,35.597478
20140005,1,-96.19278,33.31601
20140006,1,-99.566148,38.814911
20140007,1,-97.161522,36.649239
20140008,1,-99.652257,39.277928
20140009,1,-95.20624,29.75023
20140010,0,-107.062,36.4309
20140011,1,-76.60618,40.80216
20140012,0,-91.16789167,30.54601111
20140013,0,-75.531339,40.519999
20140014,0,-89.54218,31.62733
20140015,1,-97.418438,34.394601
20140016,0,-96.74944,35.95778
20140017,0,-84.69,39.03517
20140018,1,-90.089749,38.829252
20140019,1,-103.1392,32.650552
20140020,0,-94.40137,29.787397
20140021,0,-74.239568,40.609013
20140022,1,-119.807777,35.5291888
20140023,0,-89.3959391,29.22007944
20140024,1,-97.59352,35.69179
20140025,0,-94.895471,29.85731
20140026,0,-95.28087,29.75023
20140027,0,-97.5925,35.6905
20140028,1,-95.01403,29.68112
20140029,0,-79.93915,36.07076
20140030,1,-87.88556,41.55694
20140031,1,-97.676782,38.339543
20140032,1,-82.23533,34.70203
20140033,0,-97.674046,38.344339
20140034,0,-102.87641,41.322508
